unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_priests	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_priests	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	hef_casters	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	undead_units	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_hev_high_elf_vampires_idrinth	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	wef_dlc05_elf_characters	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	undead_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	undead_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	hef_casters	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	hef_casters	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	hef_casters	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	hef_casters	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	hef_casters	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	hef_casters	false
			idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_chapel_mixed	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_idrinthchampion	all_units	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	all_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	all_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	all_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	all_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	all_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	all_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	all_units	false
			idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_hev_high_elf_vampires_all_chapel_units	false
			idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_hev_high_elf_vampires_all_chapel_units_entity	false
			idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_all_chapel_units_multi	false
			idrinth_hev_high_elf_vampires_chapel_outriders	all_units	false
			idrinth_hev_high_elf_vampires_chapel_outriders	cavalry_units	false
			idrinth_hev_high_elf_vampires_chapel_outriders	missile_units	false
			idrinth_hev_high_elf_vampires_chapel_outriders	all_land_units	false
			idrinth_hev_high_elf_vampires_chapel_mixed	all_units	false
			idrinth_hev_high_elf_vampires_chapel_mixed	infantry_units	false
			idrinth_hev_high_elf_vampires_chapel_mixed	infantry_units_melee	false
			idrinth_hev_high_elf_vampires_chapel_mixed	infantry_units_missile	false
			idrinth_hev_high_elf_vampires_chapel_mixed	all_land_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	all_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	infantry_units	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	infantry_units_melee	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	infantry_units_missile	false
			idrinth_hev_high_elf_vampires_chapel_asuryan	all_land_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine	all_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine	infantry_units	false
			idrinth_hev_high_elf_vampires_chapel_khaine	infantry_units_melee	false
			idrinth_hev_high_elf_vampires_chapel_khaine	infantry_units_missile	false
			idrinth_hev_high_elf_vampires_chapel_khaine	all_land_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	all_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	infantry_units	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	infantry_units_melee	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	infantry_units_missile	false
			idrinth_hev_high_elf_vampires_chapel_kurnous	all_land_units	false
			idrinth_hev_high_elf_vampires_chapel_outriders	wef_dlc05_wood_elf_elf_units	false
			idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_all_elves	false
			idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_all_elven_veterans	false
			idrinth_hev_high_elf_vampires_idrinthchampion	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_asuryan	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_kurnous	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_khaine	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_mixed	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_khaine_leader	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_shrine	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_cave_bats	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_hawks	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_wolves	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_great_eagle	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_stone_wolves	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
			idrinth_hev_high_elf_vampires_idrinthgeneral	idrinth_hev_high_elf_vampires_all_none_chapel_units	true
