building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
idrinth_hev_high_elf_vampires_chapel_2_kurnous	wh_dlc05_faction_political_diplomacy_mod_wood_elves		region_to_faction_own	5.0000	-7.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_asuryan	wh2_main_faction_political_diplomacy_mod_high_elves		region_to_faction_own	3.0000	-3.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_asuryan	wh3_main_effect_winds_of_magic_character		region_to_force_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_kurnous	wh3_main_effect_winds_of_magic_character		region_to_force_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_khaine	wh3_main_effect_winds_of_magic_character		region_to_force_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_0_beasts	wh_main_effect_province_growth_building		region_to_province_own	1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_beasts	wh_main_effect_province_growth_building		region_to_province_own	2.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_beasts	wh_main_effect_province_growth_building		region_to_province_own	4.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_diplomacy	wh_dlc05_faction_political_diplomacy_mod_wood_elves		building_to_faction_own	3.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_diplomacy	wh2_main_faction_political_diplomacy_mod_high_elves		building_to_faction_own	3.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_1_diplomacy	wh2_main_faction_political_diplomacy_mod_dark_elves		building_to_faction_own	3.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_diplomacy	wh_dlc05_faction_political_diplomacy_mod_wood_elves		building_to_faction_own	5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_diplomacy	wh2_main_faction_political_diplomacy_mod_high_elves		building_to_faction_own	5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_diplomacy	wh2_main_faction_political_diplomacy_mod_dark_elves		building_to_faction_own	5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_diplomacy	wh3_main_effect_allied_recruitment_global_pool_cost_percentage_mod		building_to_force_own_factionwide	-1.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_diplomacy	wh2_main_effect_economy_gdp_mod_trade_sea_global		building_to_province_own	25.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_altar	wh_main_effect_force_stat_ward_save		building_to_force_own_in_province_own	2.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_altar	wh_main_effect_force_stat_vigour_loss_reduction		building_to_force_own_in_province_own	-5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_altar	wh_main_effect_force_stat_speed		building_to_force_own_in_province_own	5.0000	0.0000	0.0000
idrinth_hev_high_elf_vampires_chapel_2_altar	wh_main_effect_region_resource_trinkets_production		building_to_faction_own	3.0000	0.0000	0.0000
