unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
idrinth_hev_high_elf_vampires_chapel_cave_bats		-1	war_beast	1	false	idrinth_hev_high_elf_vampires_chapel_cave_bats	60	0	375	wh_main_shp_transport	1	1	80	350	88	heavy		0	true	wh_main_vo_culture_Fell_Bat	vmp_fell_bats	1	false	vamp_fell_bat		false		375.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_hawks		-1	monster	1	false	idrinth_hev_high_elf_vampires_chapel_hawks	24	0	800	wh_main_shp_transport	1	1	24	800	200	heavy		0	true	wh_main_vo_culture_Eagle	wh2_dlc16_wef_hawks	2	false	wef_great_eagle		false		800.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false		0.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_wolves		-1	war_beast	1	false	idrinth_hev_high_elf_vampires_chapel_wolves	48	0	650	wh_main_shp_transport	1	1	40	650	163	medium		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	2	false	vamp_dire_wolf		false		650.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_stone_wolves		-1	melee_cavalry	3	false	idrinth_hev_high_elf_vampires_chapel_stone_wolves	6	2	1400	wh_main_shp_transport	1	1	6	1400	100	super_heavy		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	cavalry	4	true	vamp_dire_wolf		false		1400.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	false	1	false
idrinth_hev_high_elf_vampires_chapel_great_eagle		-1	monster	1	false	idrinth_hev_high_elf_vampires_chapel_great_eagle	1	0	750	wh_main_shp_transport	1	1	1	750	187	heavy		0	true	wh_main_vo_culture_Eagle	wh_dlc05_wef_great_eagle	2	true	hef_great_eagle		true		750.0000	0.0000	true	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	3	false	false		0.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_outriders		-1	missile_cavalry	1	false	idrinth_hev_high_elf_vampires_chapel_outriders	30	0	650	wh_main_shp_transport	1	1	60	650	163	medium		0	true	wh2_main_vo_culture_Dark_Elves	missile_cavalry_bow	2	false	emp_reiksguard		false		75.0000	300.0000	false	vo_culture_None	false	wh2_main_vo_actor_Dark_Elves_Mounted	0	true	false	5	false	false		100.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire		-1	hero	1	false	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	1	1	1000	wh_main_shp_transport	1	1	1	1000	115	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_priest	4	false			true		1000.0000	900.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		300.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire		-1	hero	1	false	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	1	1	1000	wh_main_shp_transport	1	1	1	1000	115	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_priest	4	false			true		1000.0000	900.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		300.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire		-1	hero	1	false	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	1	1	1000	wh_main_shp_transport	1	1	1	1000	115	very_light		0	true	wh2_main_vo_culture_High_Elves	idrinth_hev_high_elf_vampires_chapel_priest	4	false			true		1000.0000	900.0000	false	vo_culture_None	false	idrinth_hev_high_elf_vampires_idrinth	0	true	false	1	false	false		300.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf		-1	monster	2	false	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	1	0	1800	wh_main_shp_transport	1	1	1	1800	400	heavy		0	true	wh_main_vo_culture_Var_Creature	vmp_varghulf	3	true	vamp_vargheist		true		1450.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf		-1	monster	2	false	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	1	0	1800	wh_main_shp_transport	1	1	1	1800	400	heavy		0	true	wh_main_vo_culture_Var_Creature	vmp_varghulf	3	true	vamp_vargheist		true		1450.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf		-1	monster	2	false	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	1	0	1800	wh_main_shp_transport	1	1	1	1800	400	heavy		0	true	wh_main_vo_culture_Var_Creature	vmp_varghulf	3	true	vamp_vargheist		true		1450.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
