attrition	unit
disease	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
mist	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
awakened_forest	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
athel_loren	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
nurgle_plague	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
plague_nurgle	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
disease	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
mist	idrinth_hev_high_elf_vampires_chapel_mixed
awakened_forest	idrinth_hev_high_elf_vampires_chapel_mixed
athel_loren	idrinth_hev_high_elf_vampires_chapel_mixed
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_mixed
vampire_territory	idrinth_hev_high_elf_vampires_chapel_mixed
mist	idrinth_hev_high_elf_vampires_chapel_outriders
awakened_forest	idrinth_hev_high_elf_vampires_chapel_outriders
athel_loren	idrinth_hev_high_elf_vampires_chapel_outriders
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_outriders
vampire_territory	idrinth_hev_high_elf_vampires_chapel_outriders
mist	idrinth_hev_high_elf_vampires_chapel_shrine
awakened_forest	idrinth_hev_high_elf_vampires_chapel_shrine
athel_loren	idrinth_hev_high_elf_vampires_chapel_shrine
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_shrine
vampire_territory	idrinth_hev_high_elf_vampires_chapel_shrine
mist	idrinth_hev_high_elf_vampires_chapel_stone_wolves
awakened_forest	idrinth_hev_high_elf_vampires_chapel_stone_wolves
athel_loren	idrinth_hev_high_elf_vampires_chapel_stone_wolves
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_stone_wolves
vampire_territory	idrinth_hev_high_elf_vampires_chapel_stone_wolves
mist	idrinth_hev_high_elf_vampires_chapel_wolves
awakened_forest	idrinth_hev_high_elf_vampires_chapel_wolves
athel_loren	idrinth_hev_high_elf_vampires_chapel_wolves
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_wolves
vampire_territory	idrinth_hev_high_elf_vampires_chapel_wolves
awakened_forest	idrinth_hev_high_elf_vampires_chapel_asuryan_large
athel_loren	idrinth_hev_high_elf_vampires_chapel_asuryan_large
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_large
vampire_territory	idrinth_hev_high_elf_vampires_chapel_asuryan_large
awakened_forest	idrinth_hev_high_elf_vampires_chapel_khaine_large
athel_loren	idrinth_hev_high_elf_vampires_chapel_khaine_large
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_large
vampire_territory	idrinth_hev_high_elf_vampires_chapel_khaine_large
mist	idrinth_hev_high_elf_vampires_chapel_kurnous_large
awakened_forest	idrinth_hev_high_elf_vampires_chapel_kurnous_large
athel_loren	idrinth_hev_high_elf_vampires_chapel_kurnous_large
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_large
vampire_territory	idrinth_hev_high_elf_vampires_chapel_kurnous_large
mist	idrinth_hev_high_elf_vampires_chapel_outriders_large
awakened_forest	idrinth_hev_high_elf_vampires_chapel_outriders_large
athel_loren	idrinth_hev_high_elf_vampires_chapel_outriders_large
non_vampire_territory	idrinth_hev_high_elf_vampires_chapel_outriders_large
vampire_territory	idrinth_hev_high_elf_vampires_chapel_outriders_large
