unit	purchasable_effect	is_exclusive
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_veteran_6	true
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_veteran_7	true
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_veteran_8	true
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	idrinth_veteran_9	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_0	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_1	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_2	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_3	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_4	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_5	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_6	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_7	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_8	true
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	idrinth_veteran_9	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_0	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_1	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_2	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_3	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_4	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_5	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_6	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_7	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_8	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	idrinth_veteran_9	true
