attribute	attribute_group
causes_terror	idrinth_hev_high_elf_vampires_chapel_great_eagle
expendable	idrinth_hev_high_elf_vampires_chapel_cave_bats
flying	idrinth_hev_high_elf_vampires_chapel_cave_bats
flying	idrinth_hev_high_elf_vampires_chapel_hawks
flying	idrinth_hev_high_elf_vampires_chapel_great_eagle
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_cave_bats
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_hawks
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_wolves
hide_forest	idrinth_hev_high_elf_vampires_chapel_cave_bats
hide_forest	idrinth_hev_high_elf_vampires_chapel_wolves
ignore_trees	idrinth_hev_high_elf_vampires_chapel_hawks
strider	idrinth_hev_high_elf_vampires_chapel_wolves
wallbreaker	idrinth_hev_high_elf_vampires_chapel_great_eagle
fatigue_res	idrinth_hev_high_elf_vampires_chapel_wolves
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_great_eagle
causes_fear	idrinth_hev_high_elf_vampires_chapel_stone_wolves
construct	idrinth_hev_high_elf_vampires_chapel_stone_wolves
devastating_flanker	idrinth_hev_high_elf_vampires_chapel_stone_wolves
fatigue_immune	idrinth_hev_high_elf_vampires_chapel_stone_wolves
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_stone_wolves
hide_forest	idrinth_hev_high_elf_vampires_chapel_stone_wolves
immune_to_psychology	idrinth_hev_high_elf_vampires_chapel_stone_wolves
unbreakable	idrinth_hev_high_elf_vampires_chapel_stone_wolves
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_outriders
hide_forest	idrinth_hev_high_elf_vampires_chapel_outriders
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_outriders
ignore_trees	idrinth_hev_high_elf_vampires_chapel_outriders
disciplined	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
fatigue_res	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
hide_forest	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
strider	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
ignore_trees	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
disciplined	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
fatigue_res	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
hide_forest	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
strider	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
ignore_trees	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
disciplined	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
fatigue_res	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
hide_forest	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
strider	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
mounted_fire_move	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
ignore_trees	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
undead	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
undead	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
undead	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
encourages	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
encourages	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
encourages	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
charge_defense_vs_large	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
causes_terror	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
flanking_immune	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
undead	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
causes_terror	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
flanking_immune	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
undead	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
causes_terror	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
flanking_immune	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
undead	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
stalk	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
fatigue_res	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
unyielding_assault	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
causes_fear	idrinth_hev_high_elf_vampires_idrinth
causes_fear	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire
causes_fear	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire
causes_fear	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_shrine
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
guerrilla_deploy	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
expendable	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf
expendable	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf
expendable	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf
expendable	idrinth_hev_high_elf_vampires_chapel_hawks
expendable	idrinth_hev_high_elf_vampires_chapel_wolves
expendable	idrinth_hev_high_elf_vampires_chapel_great_eagle
