key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
idrinth_hev_high_elf_vampires_chapel_cave_bats	10	wh_main_body_0	2450	inf_melee	6	inf_mel	wh2_dlc16_unit_long_text_wef_mon_cave_bats	ba1_bat	wh_main_flying_fell_bat_blood	25	50	55	75		0	idrinth_hev_high_elf_vampires_chapel_cave_bats		7	none	wh2_dlc16_unit_short_text_wef_mon_cave_bats	wh_main_fellbats	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_cave_bats	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	elves_wef	0	0	0	0	0	0	0	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_hawks	10	wh2_main_body_15	2450	inf_melee	46	inf_mel	wh2_dlc16_unit_long_text_wef_mon_hawks	bi1_hawk	wh_dlc05_wef_hawk_blood	35	30	65	200		0	idrinth_hev_high_elf_vampires_chapel_hawks		5	none	wh2_dlc16_unit_short_text_wef_mon_hawks	wh_dlc05_cavalry_hawk_riders	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_hawks	60	80	0	vo_sel_hef_Great_Eagle	vo_sel_melee	vo_sel_culture	1.0000	elves_wef_large	0	0	0	0	0	0	0	0	flying_melee_flanker_shock	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_wolves	10	wh2_main_leather_15	2450	inf_melee	38	inf_mel	wh2_dlc16_unit_long_text_wef_mon_wolves	wf1_giant_wolf	wh_main_monster_wolf_hound_blood	30	25	50	150		0	idrinth_hev_high_elf_vampires_chapel_wolves		3	none	wh2_dlc16_unit_short_text_wef_mon_wolves	wh_main_cavalry_very_chaotic	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_wolves	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	elves_wef	0	0	0	0	0	0	15	0	melee_flanker	false	false	false	false	high	high	domination_cav			melee	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_great_eagle	10	wh2_main_body_30	2450	inf_melee	62	inf_mel	wh2_main_unit_long_text_hef_mon_great_eagle	bi1_eagle	wh_dlc05_wef_mon_great_eagle_blood	50	35	65	5000		0	idrinth_hev_high_elf_vampires_chapel_great_eagle		1	none	wh2_main_unit_short_text_hef_mon_great_eagle	wh_main_monster	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_great_eagle	60	80	0	vo_sel_hef_Great_Eagle	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	flying_melee_flanker_shock	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_stone_wolves	10	wh2_main_plate_100	2450	cavalry	81	cav_shk	idrinth_hev_high_elf_vampires_chapel_stone_wolves	wf1_giant_wolf	idrinth_hev_high_elf_vampires_chapel_stone_wolves	50	50	100	900		0	idrinth_hev_high_elf_vampires_chapel_stone_wolves		1	none	idrinth_hev_high_elf_vampires_chapel_stone_wolves	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_stone_wolves	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_generic_short	1.0000	elves_wef_large	0	0	-30	-20	0	25	35	0	melee_flanker	false	true	false	false	high	high	domination_cav			melee	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_outriders	30	wh2_main_leather_45	2450	cavalry	34	cav_mis	idrinth_hev_high_elf_vampires_chapel_outriders	hu1d_elf_hr1_warhorse_sword_crossbow	wh2_main_cavarly_rider_170_blood	30	20	65	75	idrinth_hev_high_elf_vampires_chapel_outrider_horse	30	idrinth_hev_high_elf_vampires_chapel_outriders	idrinth_hev_high_elf_vampires_chapel_outriders	3	none	idrinth_hev_high_elf_vampires_chapel_outriders	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_outriders	60	80	0	vo_sel_def_Dark_Rider_Crossbows	vo_sel_cavalry	vo_sel_ranged	1.0000	large	0	25	0	0	0	0	0	0	ranged_harasser_flanker	true	false	false	false	low	low	domination_cav			skirmish	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	45	wh2_main_plate_95	2450	inf_melee	35	com	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	40	50	70	3000		0	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	1	wh_missile_block_20_inaudible	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	60	80	15	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	5	0	5	10	0	hybrid_highvalue	true	true	false	false	medium	medium	medium			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	50	wh2_main_plate_95	2450	inf_melee	35	com	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	40	45	70	3000		0	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	1	wh_missile_block_20_inaudible	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	60	80	20	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	5	0	5	10	0	hybrid_highvalue	true	true	false	false	medium	medium	medium			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	45	wh2_main_plate_95	2450	inf_melee	35	com	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	hu1d_elf_2handed_sword_crossbow	idrinth_hev_high_elf_vampires_chapel_mixed	45	45	70	3000		0	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	1	wh_missile_block_20_inaudible	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	wh_main_infantry	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	60	80	15	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	25	0	5	0	5	10	0	hybrid_highvalue	true	true	false	false	medium	medium	medium			skirmish	1.0000	1.0000	false	true
idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	10	wh2_main_body_50	2450	inf_melee	75	inf_mel	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	hu8b_varghulf	wh_main_monster_varghulf_blood	55	42	50	8240		0	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf		1	none	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	wh_main_monster	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	5	5	0	melee_gatecrusher_shock	false	false	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	10	wh2_main_body_50	2450	inf_melee	50	inf_mel	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	hu8b_varghulf	wh_main_monster_varghulf_blood	50	42	50	8240		0	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf		1	none	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	wh_main_monster	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	5	5	0	melee_gatecrusher_shock	false	false	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	10	wh2_main_body_50	2450	inf_melee	50	inf_mel	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	hu8b_varghulf	wh_main_monster_varghulf_blood	50	57	50	9370		0	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf		1	none	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	wh_main_monster	trained			true	40.0000	1500.0000	idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	5	5	0	melee_gatecrusher_shock	false	false	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
