key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
idrinth_wh_main_skill_node_vmp_necromancer_magic1_11		idrinth_wh_main_skill_all_magic_all_11_arcane_conduit		1	0		0	0	true
idrinth_campaign_actions_dummy		idrinth_campaign_actions_dummy		99	1		1	0	false
idrinth_wh2_dlc10_skill_node_def_supreme_sorceress_shadow_innate_7		idrinth_skill_magic_weapon_master		99	2		0	0	false
idrinth_wh_main_skill_all_magic_death_04_soulblight		idrinth_wh_main_skill_all_magic_death_04_soulblight		4	12		0	0	true
idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness		idrinth_wh_main_skill_all_magic_death_05_doom_and_darkness		4	13		0	0	true
idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna		idrinth_wh_main_skill_all_magic_death_09_the_fate_of_bjuna		4	15		0	0	true
idrinth_wh_main_skill_all_magic_death_01_spirit_leech		idrinth_wh_main_skill_all_magic_death_01_spirit_leech		4	10		0	0	true
idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe		idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe		4	24		0	0	true
idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma		idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma		4	19		0	0	true
idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades		idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades		4	22		0	0	true
idrinth_wh_dlc05_skill_magic_shadow_the_withering		idrinth_wh_dlc05_skill_magic_shadow_the_withering		4	21		0	0	true
idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition		idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition		5	0		0	0	true
idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload		idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload		5	1		0	0	true
idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage		idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage		5	2		0	0	true
idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1		idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1		5	4		0	0	true
idrinth_diplomat_high_elves		idrinth_diplomat_high_elves		3	9		0	0	true
idrinth_diplomat_wood_elves		idrinth_diplomat_wood_elves		3	10		0	0	true
idrinth_diplomat_dark_elves		idrinth_diplomat_dark_elves		3	11		0	0	true
idrinth_diplomat_vampire_coast		idrinth_diplomat_vampire_coast		3	12		0	0	true
idrinth_diplomat_vampire_counts		idrinth_diplomat_vampire_counts		3	13		0	0	true
idrinth_diplomat_bretonnia		idrinth_diplomat_bretonnia		3	14		0	0	true
idrinth_diplomat_norsca		idrinth_diplomat_norsca		3	15		0	0	true
idrinth_diplomat_kislev		idrinth_diplomat_kislev		3	16		0	0	true
idrinth_diplomat_cathay		idrinth_diplomat_cathay		3	17		0	0	true
idrinth_diplomat_empire		idrinth_diplomat_empire		3	18		0	0	true
idrinth_diplomat_lizardmen		idrinth_diplomat_lizardmen		3	19		0	0	true
idrinth_diplomat_dwarves		idrinth_diplomat_dwarves		3	20		0	0	true
idrinth_loremaster_lore_of_vampires		idrinth_loremaster_lore_of_vampires		4	8		0	0	true
idrinth_loremaster_lore_of_shadows		idrinth_loremaster_lore_of_shadows		4	26		0	0	true
idrinth_loremaster_lore_of_death		idrinth_loremaster_lore_of_death		4	17		0	0	true
idrinth_ranger_knowledge		idrinth_ranger_knowledge		3	7		0	0	true
idrinth_blade_dancing		idrinth_blade_dancing		3	6		0	0	true
idrinth_unusual_training		idrinth_unusual_training		3	5		0	0	true
idrinth_running_wild		idrinth_running_wild		3	4		0	0	true
idrinth_veterans		idrinth_veterans		3	2		0	0	true
idrinth_strong_as_stone		idrinth_strong_as_stone		3	0		0	0	true
idrinth_beasts_of_nature		idrinth_beasts_of_nature		3	1		0	0	true
idrinth_campaign_actions_dummy_general		idrinth_campaign_actions_dummy_general		99	1		1	0	false
