campaign_key	faction_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
		2	idrinth_wh2_main_skill_hef_combat_valour_of_ages		x	3
		2	idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		x	3
		2	idrinth_wh_main_skill_all_all_self_blade_master		x	3
		2	idrinth_wh_main_skill_all_all_self_hard_to_hit		x	3
		2	idrinth_wh_main_skill_all_dignitary_self_conviction		x	3
		2	idrinth_wh_main_skill_all_dignitary_self_fervour		x	3
		2	idrinth_wh_main_skill_all_dignitary_self_inviolable_2		x	3
		2	idrinth_wh_main_skill_all_dignitary_self_tenacity_2		x	3
		2	idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		x	3
		2	idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		x	3
		2	idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		x	3
		2	idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		x	3
		2	idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		x	3
		3	idrinth_wh2_main_skill_all_hero_assist_army_training		x	7
		3	idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		x	7
		3	idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		x	7
		3	idrinth_wh2_main_skill_all_hero_reduce_action_cost		x	7
		3	idrinth_wh2_main_skill_hef_combat_valour_of_ages		x	7
		3	idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		x	7
		3	idrinth_wh_main_skill_all_all_self_blade_master		x	7
		3	idrinth_wh_main_skill_all_all_self_hard_to_hit		x	7
		3	idrinth_wh_main_skill_all_dignitary_self_conviction		x	7
		3	idrinth_wh_main_skill_all_dignitary_self_fervour		x	7
		3	idrinth_wh_main_skill_all_dignitary_self_inviolable_2		x	7
		3	idrinth_wh_main_skill_all_dignitary_self_tenacity_2		x	7
		3	idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		x	7
		3	idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		x	7
		3	idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		x	7
		3	idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		x	7
		3	idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		x	7
		2	idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		x	0
		3	idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		x	0
		2	idrinth_wh2_main_skill_hef_generic_warding_of_loec		x	0
		3	idrinth_wh2_main_skill_hef_generic_warding_of_loec		x	0
		3	idrinth_wh_dlc05_skill_wef_army_buff_ranged_ammunition		x	0
		3	idrinth_wh_dlc05_skill_wef_army_buff_ranged_extra_reload		x	0
		3	idrinth_wh_dlc05_skill_wef_army_buff_ranged_missile_damage		x	0
		1	idrinth_wh_dlc05_skill_wef_general_personal_buff_ranged_ability_high_tier_killer_1		x	10
		1	idrinth_diplomat_high_elves		x	15
		1	idrinth_diplomat_wood_elves		x	15
		1	idrinth_diplomat_dark_elves		x	15
		1	idrinth_diplomat_vampire_coast		x	15
		1	idrinth_diplomat_vampire_counts		x	15
		1	idrinth_diplomat_bretonnia		x	20
		1	idrinth_diplomat_norsca		x	20
		1	idrinth_diplomat_kislev		x	20
		1	idrinth_diplomat_cathay		x	25
		1	idrinth_diplomat_empire		x	20
		1	idrinth_diplomat_lizardmen		x	25
		1	idrinth_diplomat_dwarves		x	25
		2	idrinth_diplomat_high_elves		x	20
		2	idrinth_diplomat_wood_elves		x	20
		2	idrinth_diplomat_dark_elves		x	20
		2	idrinth_diplomat_vampire_coast		x	20
		2	idrinth_diplomat_vampire_counts		x	20
		2	idrinth_diplomat_bretonnia		x	25
		2	idrinth_diplomat_norsca		x	25
		2	idrinth_diplomat_kislev		x	25
		2	idrinth_diplomat_empire		x	25
		3	idrinth_diplomat_high_elves		x	25
		3	idrinth_diplomat_wood_elves		x	25
		3	idrinth_diplomat_dark_elves		x	25
		3	idrinth_diplomat_vampire_coast		x	25
		3	idrinth_diplomat_vampire_counts		x	25
		1	idrinth_loremaster_lore_of_vampires		x	8
		1	idrinth_loremaster_lore_of_shadows		x	8
		1	idrinth_loremaster_lore_of_death		x	8
		1	idrinth_ranger_knowledge		x	0
		1	idrinth_blade_dancing		x	0
		1	idrinth_unusual_training		x	0
		1	idrinth_running_wild		x	0
		1	idrinth_veterans		x	0
		1	idrinth_strong_as_stone		x	0
		1	idrinth_beasts_of_nature		x	0
		2	idrinth_ranger_knowledge		x	0
		2	idrinth_blade_dancing		x	0
		2	idrinth_unusual_training		x	0
		2	idrinth_running_wild		x	0
		2	idrinth_veterans		x	0
		2	idrinth_strong_as_stone		x	0
		2	idrinth_beasts_of_nature		x	0
		3	idrinth_ranger_knowledge		x	0
		3	idrinth_blade_dancing		x	0
		3	idrinth_unusual_training		x	0
		3	idrinth_running_wild		x	0
		3	idrinth_veterans		x	0
		3	idrinth_strong_as_stone		x	0
		3	idrinth_beasts_of_nature		x	0
		1	idrinth_wh3_main_agent_scaling		x	0
		2	idrinth_wh3_main_agent_scaling		x	0
		3	idrinth_wh3_main_agent_scaling		x	0
		4	idrinth_wh3_main_agent_scaling		x	0
		5	idrinth_wh3_main_agent_scaling		x	0
		6	idrinth_wh3_main_agent_scaling		x	0
		7	idrinth_wh3_main_agent_scaling		x	0
		8	idrinth_wh3_main_agent_scaling		x	0
		9	idrinth_wh3_main_agent_scaling		x	0
		10	idrinth_wh3_main_agent_scaling		x	0
		11	idrinth_wh3_main_agent_scaling		x	0
		12	idrinth_wh3_main_agent_scaling		x	0
		13	idrinth_wh3_main_agent_scaling		x	0
		14	idrinth_wh3_main_agent_scaling		x	0
		15	idrinth_wh3_main_agent_scaling		x	0
		16	idrinth_wh3_main_agent_scaling		x	0
		17	idrinth_wh3_main_agent_scaling		x	0
		18	idrinth_wh3_main_agent_scaling		x	0
		19	idrinth_wh3_main_agent_scaling		x	0
		20	idrinth_wh3_main_agent_scaling		x	0
		21	idrinth_wh3_main_agent_scaling		x	0
		22	idrinth_wh3_main_agent_scaling		x	0
		23	idrinth_wh3_main_agent_scaling		x	0
		24	idrinth_wh3_main_agent_scaling		x	0
		25	idrinth_wh3_main_agent_scaling		x	0
		26	idrinth_wh3_main_agent_scaling		x	0
		27	idrinth_wh3_main_agent_scaling		x	0
		28	idrinth_wh3_main_agent_scaling		x	0
		29	idrinth_wh3_main_agent_scaling		x	0
		30	idrinth_wh3_main_agent_scaling		x	0
		31	idrinth_wh3_main_agent_scaling		x	0
		32	idrinth_wh3_main_agent_scaling		x	0
		33	idrinth_wh3_main_agent_scaling		x	0
		34	idrinth_wh3_main_agent_scaling		x	0
		35	idrinth_wh3_main_agent_scaling		x	0
		36	idrinth_wh3_main_agent_scaling		x	0
		37	idrinth_wh3_main_agent_scaling		x	0
		38	idrinth_wh3_main_agent_scaling		x	0
		39	idrinth_wh3_main_agent_scaling		x	0
		40	idrinth_wh3_main_agent_scaling		x	0
		41	idrinth_wh3_main_agent_scaling		x	0
		42	idrinth_wh3_main_agent_scaling		x	0
		43	idrinth_wh3_main_agent_scaling		x	0
		44	idrinth_wh3_main_agent_scaling		x	0
		45	idrinth_wh3_main_agent_scaling		x	0
		46	idrinth_wh3_main_agent_scaling		x	0
		47	idrinth_wh3_main_agent_scaling		x	0
		48	idrinth_wh3_main_agent_scaling		x	0
		49	idrinth_wh3_main_agent_scaling		x	0
		50	idrinth_wh3_main_agent_scaling		x	0
		1	idrinth_lord_of_free_blades		x	5
		2	idrinth_lord_of_free_blades		x	10
		3	idrinth_lord_of_free_blades		x	15
		1	idrinth_hidden_paths		x	5
		2	idrinth_hidden_paths		x	10
		3	idrinth_hidden_paths		x	15
